Marca,Modello,Versione,Prezzo,Lunghezza,Larghezza,Altezza,Posti,Bagagliaio,Garanzia,Motorizzazione,Cilindrata cm³,Cilindri,Potenza CV/KW,Potenza termico CV/KW,Potenza omologata CV/KW,Coppia Nm,Velocità max km/h,Consumo medio l/100 km,Consumo medio kWh/100 km,Emissioni,Peso kg,Autonomia km,Capacità batteria kWh
MG,3,1.5 Hybrid+ Luxury,23.490,411,180,150,5,293/983,7/150.000,ibrida benzina HEV,1.499,4,194 CV/143 KW,102 CV/75 KW,nd,425,170,"4,4 l/100 Km",nd,100 G/KM,1.285,nd,nd
MG,4,51 kWh Standard,30.790,423,184,150,5,350-363/1165-1177,7/150.000,elettrica,nd,nd,170 CV/125 KW,nd,73 CV/54 KW,250,160,nd,17 kWh/100 km,0 G/KM,1.635,350,51
MG,4,64 kWh Comfort,34.790,423,184,150,5,350-363/1165-1177,7/150.000,elettrica,nd,nd,204 CV/150 KW,nd,92 CV/68 KW,250,160,nd,16 kWh/100 km,0 G/KM,1.651-1.675,450,64
MG,4,64 kWh Luxury,36.790,423,184,150,5,350-363/1165-1177,7/150.000,elettrica,nd,nd,204 CV/150 KW,nd,92 CV/68 KW,250,160,nd,16 kWh/100 km,0 G/KM,1.651-1.675,450,64
MG,4,64 kWh XPower AWD,41.290,423,184,150,5,350-363/1165-1177,7/150.000,elettrica,nd,nd,435 CV/320 KW,nd,207 CV/152 KW,600,200,nd,"18,7 kWh/100 km",0 G/KM,1.803,385,64
MG,4,77 kWh Trophy Extended Range,40.290,423,184,150,5,350-363/1165-1177,7/150.000,elettrica,nd,nd,245 CV/180 KW,nd,122 CV/90 KW,350,180,nd,"16,5 kWh/100 km",0 G/KM,1.751,520,77
MG,5,Long Range Comfort,38.990,460,181,154,5,479/1367,7/150.000,elettrica,nd,nd,156 CV/115 KW,nd,99 CV/73 KW,260,185,nd,"17,5 kWh/100 km",0 G/KM,1.562,400,nd
MG,5,Long Range Luxury,40.490,460,181,154,5,479/1367,7/150.000,elettrica,nd,nd,156 CV/115 KW,nd,99 CV/73 KW,260,185,nd,"17,5 kWh/100 km",0 G/KM,1.562,400,nd
MG,5,Standard Range Comfort,34.490,460,181,154,5,479/1367,7/150.000,elettrica,nd,nd,177 CV/130 KW,nd,102 CV/75 KW,260,185,nd,"17,9 kWh/100 km",0 G/KM,1.562,320,nd
MG,5,Standard Range Luxury,35.990,460,181,154,5,479/1367,7/150.000,elettrica,nd,nd,177 CV/130 KW,nd,102 CV/75 KW,260,185,nd,"17,9 kWh/100 km",0 G/KM,1.562,320,nd
MG,Cyberster,74 kWh,63.000,454,191,133,2,249,7/150.000,elettrica,nd,nd,340 CV/250 KW,nd,218 CV/160 KW,475,195,nd,"16,7 kWh/100 km",0 G/KM,1.885,507,74
MG,Cyberster,74 kWh AWD,68.000,454,191,133,2,249,7/150.000,elettrica,nd,nd,510 CV/375 KW,nd,320 CV/235 KW,725,200,nd,"19,1 kWh/100 km",0 G/KM,1.985,443,74
MG,HS,1.5 T-GDI Comfort,27.490,466,189,166,5,441-507/1291-1484,7/150.000,benzina,1.496,4,170 CV/125 KW,nd,nd,275,190,"7,4 l/100 Km",nd,168-173 G/KM,1.550-1.600,nd,nd
MG,HS,1.5 T-GDI Comfort DCT,29.490,466,189,166,5,441-507/1291-1484,7/150.000,benzina,1.496,4,170 CV/125 KW,nd,nd,275,190,"7,4 l/100 Km",nd,168-173 G/KM,1.550-1.600,nd,nd
MG,HS,1.5 T-GDI Luxury,29.990,466,189,166,5,441-507/1291-1484,7/150.000,benzina,1.496,4,170 CV/125 KW,nd,nd,275,190,"7,4 l/100 Km",nd,168-173 G/KM,1.550-1.600,nd,nd
MG,HS,1.5 T-GDI Luxury DCT,31.990,466,189,166,5,441-507/1291-1484,7/150.000,benzina,1.496,4,170 CV/125 KW,nd,nd,275,190,"7,4 l/100 Km",nd,168-173 G/KM,1.550-1.600,nd,nd
MG,HS,EHS 1.5 T-GDI Comfort,37.990,466,189,166,5,441-507/1291-1484,7/150.000,plug-in benzina PHEV,1.496,4,272 CV/200 KW,143 CV/105 KW,nd,350,200,nd,nd,14 G/KM,1.830-1.855,100,nd
MG,HS,EHS 1.5 T-GDI Luxury,40.490,466,189,166,5,441-507/1291-1484,7/150.000,plug-in benzina PHEV,1.496,4,272 CV/200 KW,143 CV/105 KW,nd,350,200,nd,nd,14 G/KM,1.830-1.855,100,nd
MG,Marvel R,70 kWh Comfort,42.690,467,192,161,5,ant. 150post. 357/1396,7/150.000,elettrica,nd,nd,179 CV/132 KW,nd,88 CV/65 KW,410,200,nd,"17,5 kWh/100 km",0 G/KM,1.810,402,nd
